"key","rule","severity","type","status","file","line","message"
"AZuO3VQjEx8CgONOF6X1","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/UtenteServlet.java",39,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VRLEx8CgONOF6YT","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/WishlistServlet.java",32,"Handle the following exception that could be thrown by ""parseInt"": NumberFormatException."
"AZuO3VRLEx8CgONOF6Yb","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/WishlistServlet.java",65,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VRlEx8CgONOF6Zo","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/landingpage.java",37,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VQQEx8CgONOF6Xr","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/logoutServlet.java",26,"Handle the following exceptions that could be thrown by ""doGet"": ServletException, IOException."
"AZuO3VRUEx8CgONOF6Y4","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",61,"Handle the following exceptions that could be thrown by ""getPart"": IOException, ServletException."
"AZuO3VRUEx8CgONOF6Y5","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",63,"Handle the following exception that could be thrown by ""aggiungiProdotto"": IOException."
"AZuO3VRUEx8CgONOF6Y7","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",67,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VRUEx8CgONOF6Y8","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",73,"Handle the following exception that could be thrown by ""mostraProdotti"": IOException."
"AZuO3VRUEx8CgONOF6Y_","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",82,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VRUEx8CgONOF6ZA","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",91,"Handle the following exception that could be thrown by ""eliminaProdotto"": IOException."
"AZuO3VRUEx8CgONOF6ZB","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",91,"Handle the following exception that could be thrown by ""parseInt"": NumberFormatException."
"AZuO3VRUEx8CgONOF6ZD","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",102,"Handle the following exception that could be thrown by ""mostraCategorie"": IOException."
"AZuO3VRUEx8CgONOF6ZG","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",118,"Handle the following exception that could be thrown by ""aggiungiCategoria"": IOException."
"AZuO3VRUEx8CgONOF6ZI","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",128,"Handle the following exception that could be thrown by ""eliminaCategoria"": IOException."
"AZuO3VRUEx8CgONOF6ZK","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",138,"Handle the following exception that could be thrown by ""mostraUtenti"": IOException."
"AZuO3VRUEx8CgONOF6ZN","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",156,"Handle the following exception that could be thrown by ""mostraOrdini"": IOException."
"AZuO3VRUEx8CgONOF6ZQ","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",174,"Handle the following exception that could be thrown by ""infoOrdine"": IOException."
"AZuO3VRUEx8CgONOF6ZR","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",174,"Handle the following exception that could be thrown by ""parseInt"": NumberFormatException."
"AZuO3VRUEx8CgONOF6ZU","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",191,"Handle the following exception that could be thrown by ""parseInt"": NumberFormatException."
"AZuO3VRUEx8CgONOF6ZV","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",192,"Handle the following exception that could be thrown by ""getProdotto"": IOException."
"AZuO3VRUEx8CgONOF6ZZ","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",230,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VQ7Ex8CgONOF6YL","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AggiungiCarrelloServlet.java",51,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VPjEx8CgONOF6XV","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/CheckOutServlet.java",43,"Handle the following exception that could be thrown by ""sendRedirect"": IOException."
"AZuO3VPjEx8CgONOF6XW","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/CheckOutServlet.java",49,"Handle the following exception that could be thrown by ""sendRedirect"": IOException."
"AZuO3VPjEx8CgONOF6XZ","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/CheckOutServlet.java",70,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VQrEx8CgONOF6X4","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/ConfrontaServlet.java",48,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VQZEx8CgONOF6Xt","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/EditCarrello.java",39,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VQZEx8CgONOF6Xw","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/EditCarrello.java",60,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VRUEx8CgONOF6Y1","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",44,"Handle the following exceptions that could be thrown by ""forward"": ServletException, IOException."
"AZuO3VRUEx8CgONOF6Y2","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",55,"Handle the following exception that could be thrown by ""parseDouble"": NumberFormatException."
"AZuO3VRUEx8CgONOF6Y3","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",58,"Handle the following exception that could be thrown by ""parseDouble"": NumberFormatException."
"AZuO3VRUEx8CgONOF6Y9","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",75,"Handle the following exception that could be thrown by ""getWriter"": IOException."
"AZuO3VRUEx8CgONOF6ZE","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",104,"Handle the following exception that could be thrown by ""getWriter"": IOException."
"AZuO3VRUEx8CgONOF6ZL","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",140,"Handle the following exception that could be thrown by ""getWriter"": IOException."
"AZuO3VRUEx8CgONOF6ZO","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",158,"Handle the following exception that could be thrown by ""getWriter"": IOException."
"AZuO3VRUEx8CgONOF6ZS","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",176,"Handle the following exception that could be thrown by ""getWriter"": IOException."
"AZuO3VRUEx8CgONOF6ZW","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",194,"Handle the following exception that could be thrown by ""getWriter"": IOException."
"AZuO3VRUEx8CgONOF6Za","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",237,"Handle the following exceptions that could be thrown by ""doGet"": ServletException, IOException."
"AZuO3VQ7Ex8CgONOF6YM","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AggiungiCarrelloServlet.java",58,"Handle the following exceptions that could be thrown by ""doGet"": ServletException, IOException."
"AZuO3VPjEx8CgONOF6Xa","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/CheckOutServlet.java",77,"Handle the following exceptions that could be thrown by ""doGet"": ServletException, IOException."
"AZuO3VQrEx8CgONOF6X5","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/ConfrontaServlet.java",55,"Handle the following exceptions that could be thrown by ""doGet"": ServletException, IOException."
"AZuO3VQZEx8CgONOF6Xx","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/EditCarrello.java",67,"Handle the following exceptions that could be thrown by ""doGet"": ServletException, IOException."
"AZuO3VRdEx8CgONOF6Zb","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/EditProfiloServlet.java",37,"Handle the following exceptions that could be thrown by ""getPart"": IOException, ServletException."
"AZuO3VRdEx8CgONOF6Ze","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/EditProfiloServlet.java",40,"Handle the following exception that could be thrown by ""sendRedirect"": IOException."
"AZuO3VRdEx8CgONOF6Zi","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/EditProfiloServlet.java",51,"Handle the following exception that could be thrown by ""sendRedirect"": IOException."
"AZuO3VRdEx8CgONOF6Zl","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/EditProfiloServlet.java",61,"Handle the following exceptions that could be thrown by ""doGet"": ServletException, IOException."
"AZuO3VRwEx8CgONOF6Zu","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/FileServlet.java",79,"Handle the following exception that could be thrown by ""processRequest"": IOException."
"AZuO3VRwEx8CgONOF6Zv","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/FileServlet.java",91,"Handle the following exception that could be thrown by ""processRequest"": IOException."
"AZuO3VPaEx8CgONOF6XQ","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/LoginServlet.java",45,"Handle the following exception that could be thrown by ""sendRedirect"": IOException."
"AZuO3VPaEx8CgONOF6XR","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/LoginServlet.java",47,"Handle the following exception that could be thrown by ""sendRedirect"": IOException."
"AZuO3VPaEx8CgONOF6XS","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/LoginServlet.java",51,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VPaEx8CgONOF6XT","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/LoginServlet.java",58,"Handle the following exceptions that could be thrown by ""forward"": ServletException, IOException."
"AZuO3VPaEx8CgONOF6XU","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/LoginServlet.java",64,"Handle the following exceptions that could be thrown by ""doGet"": ServletException, IOException."
"AZuO3VQAEx8CgONOF6Xk","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/ProdottiPerCategoriaServlet.java",36,"Handle the following exceptions that could be thrown by ""forward"": ServletException, IOException."
"AZuO3VQAEx8CgONOF6Xn","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/ProdottiPerCategoriaServlet.java",46,"Handle the following exceptions that could be thrown by ""doGet"": ServletException, IOException."
"AZuO3VR5Ex8CgONOF6Z4","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/ProdottoServlet.java",36,"Handle the following exceptions that could be thrown by ""forward"": ServletException, IOException."
"AZuO3VR5Ex8CgONOF6Z7","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/ProdottoServlet.java",46,"Handle the following exceptions that could be thrown by ""doGet"": ServletException, IOException."
"AZuO3VQzEx8CgONOF6YD","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RecensioniServlet.java",59,"Handle the following exception that could be thrown by ""sendRedirect"": IOException."
"AZuO3VQzEx8CgONOF6YG","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RecensioniServlet.java",65,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VQzEx8CgONOF6YH","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RecensioniServlet.java",72,"Handle the following exceptions that could be thrown by ""doGet"": ServletException, IOException."
"AZuO3VPrEx8CgONOF6Xb","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RegistrazioneServlet.java",48,"Handle the following exceptions that could be thrown by ""getPart"": IOException, ServletException."
"AZuO3VPrEx8CgONOF6Xc","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RegistrazioneServlet.java",52,"Handle the following exception that could be thrown by ""getInputStream"": IOException."
"AZuO3VPrEx8CgONOF6Xd","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RegistrazioneServlet.java",61,"Handle the following exception that could be thrown by ""copy"": IOException."
"AZuO3VPrEx8CgONOF6Xe","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RegistrazioneServlet.java",79,"Handle the following exceptions that could be thrown by ""forward"": ServletException, IOException."
"AZuO3VPrEx8CgONOF6Xg","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RegistrazioneServlet.java",85,"Handle the following exception that could be thrown by ""sendRedirect"": IOException."
"AZuO3VPrEx8CgONOF6Xj","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RegistrazioneServlet.java",96,"Handle the following exceptions that could be thrown by ""doGet"": ServletException, IOException."
"AZuO3VRDEx8CgONOF6YN","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RicercaServlet.java",36,"Handle the following exceptions that could be thrown by ""forward"": ServletException, IOException."
"AZuO3VRDEx8CgONOF6YQ","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RicercaServlet.java",45,"Handle the following exceptions that could be thrown by ""doGet"": ServletException, IOException."
"AZuO3VQjEx8CgONOF6Xz","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/UtenteServlet.java",36,"Handle the following exceptions that could be thrown by ""forward"": ServletException, IOException."
"AZuO3VQjEx8CgONOF6X2","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/UtenteServlet.java",45,"Handle the following exceptions that could be thrown by ""doGet"": ServletException, IOException."
"AZuO3VRLEx8CgONOF6YU","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/WishlistServlet.java",37,"Handle the following exception that could be thrown by ""sendRedirect"": IOException."
"AZuO3VRLEx8CgONOF6YV","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/WishlistServlet.java",41,"Handle the following exception that could be thrown by ""parseInt"": NumberFormatException."
"AZuO3VRLEx8CgONOF6YW","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/WishlistServlet.java",44,"Handle the following exception that could be thrown by ""sendRedirect"": IOException."
"AZuO3VRLEx8CgONOF6YX","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/WishlistServlet.java",54,"Handle the following exceptions that could be thrown by ""forward"": ServletException, IOException."
"AZuO3VRLEx8CgONOF6YY","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/WishlistServlet.java",58,"Handle the following exception that could be thrown by ""parseInt"": NumberFormatException."
"AZuO3VRLEx8CgONOF6YZ","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/WishlistServlet.java",59,"Handle the following exception that could be thrown by ""parseInt"": NumberFormatException."
"AZuO3VRLEx8CgONOF6Yc","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/WishlistServlet.java",71,"Handle the following exceptions that could be thrown by ""doGet"": ServletException, IOException."
"AZuO3VRlEx8CgONOF6Zp","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/landingpage.java",43,"Handle the following exceptions that could be thrown by ""forward"": ServletException, IOException."
"AZuO3VRlEx8CgONOF6Zq","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/landingpage.java",48,"Handle the following exceptions that could be thrown by ""doGet"": ServletException, IOException."
"AZuO3VQQEx8CgONOF6Xq","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/logoutServlet.java",21,"Handle the following exception that could be thrown by ""sendRedirect"": IOException."
